"","NAICS.id","US_EMP","kings_EMP","kings_e","kings_E","kings_LQ","kings_bi","V8"
"107","4235",165857,NA,NA,0.00153051224691941,NA,NA,NA
"108","4236",508041,NA,NA,0.00468815288132055,NA,NA,NA
"109","4237",248172,NA,NA,0.00229010705211407,NA,NA,NA
"110","4238",743510,NA,NA,0.0068610378862939,NA,NA,NA
"111","4239",347209,NA,NA,0.00320401084512948,NA,NA,NA
"112","4241",179656,NA,NA,0.00165784807534535,NA,NA,NA
"113","4242",259412,NA,NA,0.00239382867770343,NA,NA,NA
"114","4243",231777,NA,NA,0.00213881558845415,NA,NA,NA
"115","4244",779251,NA,NA,0.00719085235428227,NA,NA,NA
"116","4245",61138,NA,NA,0.0005641755111461,NA,NA,NA
"117","4246",152877,NA,NA,0.00141073407074949,NA,NA,NA
"118","4247",105104,NA,NA,0.000969889478286821,NA,NA,NA
"119","4248",180204,NA,NA,0.00166290496598796,NA,NA,NA
"120","4249",370367,NA,NA,0.00341771061429303,NA,NA,NA
"121","4251",288798,NA,NA,0.00266499982446222,NA,NA,NA
"122","4411",1268015,174.5,0.0114644241508442,0.011701118956556,0.979771609314409,-3.60273163773912,NA
"123","4412",170902,59.5,0.00390907299126207,0.0015770670157004,2.47869808470124,35.4954629540243,NA
"124","4413",475549,174.5,0.0114644241508442,0.00438831986898519,2.61248598395709,107.705383274176,NA
"125","4421",266374,58,0.00381052493265883,0.00245807333583093,1.55020799302992,20.5856657553175,NA
"126","4422",291103,52,0.00341633269824584,0.00268627014003015,1.27177555501082,11.1122821986011,NA
"127","4431",486483,86,0.00565008869325274,0.004489217756369,1.25859091714515,17.6696165303074,NA
"128","4441",1164426,346,0.022731752184482,0.0107452097507574,2.11552428586883,182.447162383721,NA
"129","4442",166896,72,0.00473030681295578,0.00154010003775458,3.07142828192669,48.5581373253375,NA
"130","4451",2551212,754,0.0495368241245647,0.0235423359308787,2.10415925887758,395.662104796095,NA
"131","4452",134695,26,0.00170816634912292,0.00124295234508528,1.37428144842168,7.08102235545693,NA
"132","4453",141255,NA,NA,0.00130348738635451,NA,NA,NA
"133","4461",1068186,259,0.0170159647854937,0.00985711640140515,1.72626193022009,108.964831254212,NA
"134","4471",890829,209,0.0137310294987189,0.00822048327421193,1.67034334122348,83.8760240832202,NA
"135","4481",1273140,334,0.021943367715656,0.0117484119575476,1.86777309094603,155.177421594168,NA
"136","4482",207945,NA,NA,0.00191889621291628,NA,NA,NA
"137","4483",162940,59.5,0.00390907299126207,0.00150359445494039,2.59981870671174,36.6137888013523,NA
"138","4511",440573,174.5,0.0114644241508442,0.00406556474651069,2.81988478001332,112.618038993361,NA
"139","4512",178502,59.5,0.00390907299126207,0.00164719907570743,2.37316366243298,34.4279828686571,NA
"140","4521",1224454,NA,NA,0.0112991422899815,NA,NA,NA
"141","4529",1539020,749.5,0.049241179948755,0.0142019267094781,3.46721828355109,533.332473555034,NA
"142","4531",93967,NA,NA,0.000867118326668611,NA,NA,NA
"143","4532",306051,59.5,0.00390907299126207,0.00282420882858083,1.38413029224414,16.5127174201711,NA
"144","4533",131901,NA,NA,0.00121716958513006,NA,NA,NA
"145","4539",260186,85,0.00558438998751725,0.00240097107434098,2.3258880738703,48.4548192774559,NA
"146","4541",352187,NA,NA,0.00324994734443409,NA,NA,NA
"147","4542",50811,NA,NA,0.000468878960660219,NA,NA,NA
"148","4543",217794,NA,NA,0.00200978182594383,NA,NA,NA
"149","4811(101)",438375,NA,NA,0.00404528181652444,NA,NA,NA
"150","4812",39782,NA,NA,0.00036710442252632,NA,NA,NA
"151","4831",56398,NA,NA,0.000520435252668025,NA,NA,NA
"152","4832",19599,NA,NA,0.000180857663694468,NA,NA,NA
"153","4841",999075,NA,NA,0.00921936682257008,NA,NA,NA
"154","4842",508848,NA,NA,0.00469559979874498,NA,NA,NA
