"","NAICS.id","US_EMP","king_EMP","king_e","king_E","king_LQ","king_bi","V8"
"1","11",172105,678,0.0329382044306257,0.00148365953397737,22.2006489199887,647.46035215261,NA
"2","21",730433,NA,NA,0.00629681813068588,NA,NA,"BASE MULTIPLIER"
"3","22",637247,NA,NA,0.00549349285057656,NA,NA,"2.72656772880914"
"4","23",7316240,NA,NA,0.0630708534259121,NA,NA,NA
"5","31-33",13395670,4291,0.208462883793237,0.115479582287061,1.80519256880439,1913.96827820313,NA
"6","42",6227389,NA,NA,0.0536842338202598,NA,NA,NA
"7","44-45",15515396,4267,0.2072969296541,0.133753029829664,1.5498484775866,1513.82763398619,NA
"8","48-49",4454383,NA,NA,0.0383997432145303,NA,NA,NA
"9","51",3496773,347,0.0168577535950253,0.0301445082920581,0.559231334334507,-273.494558683724,NA
"10","52",6607511,NA,NA,0.0569611382063877,NA,NA,NA
"11","53",2188479,343,0.0166634279051691,0.0188661441170173,0.883245023562531,-45.3407105046846,NA
"12","54",7870414,535,0.0259910610182666,0.0678482017805932,0.383076637790877,-861.58738545173,NA
"13","55",2664203,NA,NA,0.0229672013096721,NA,NA,NA
"14","56",10250955,567,0.0275456665371162,0.0883700480411552,0.311708176556471,-1252.00906887914,NA
"15","61",539951,175,0.00850174893120871,0.00465473663769569,1.82647260048153,79.186901049672,NA
"16","62",16792074,4106,0.199475320637388,0.144758843062976,1.37798366176917,1126.28397439169,NA
"17","71",2061348,484,0.0235134084726001,0.0177701903666087,1.32319395501712,118.218401493727,NA
"18","72",11600751,4209,0.204479207151185,0.100006187051204,2.04466556700626,2150.47264573801,NA
"19","81",3479011,582,0.028274387874077,0.0299913880419636,0.942750226648921,-35.3427314557795,NA
